,question,answer
1074,definition contract,contract wholly unperformed following criterion met entity yet transferred promised good service customer entity yet received yet entitled receive consideration exchange promised good service
1075,best way determine customer able pay consideration,example customer ability pay consideration deteriorates significantly entity would reassess whether probable entity collect consideration entity entitled exchange remaining good service transferred customer
1076,purpose  9,contract customer meet criterion paragraphan entity continue ass contract determine whether criterion paragraphare subsequently met
1077,entity customer meet criterion  9,contract customer meet criterion paragraphand entity receives consideration customer entity recognise consideration received revenue either following event occurred entity remaining obligation transfer good service customer substantially consideration promised customer received entity nonrefundable contract terminated consideration received customer nonrefundable
1078,liability entity,depending fact circumstance relating contract liability recognised represents entity obligation either transfer good service future refund consideration received
1079,definition single contract,entity combine two contract entered near time customer account contract single contract one following criterion met contract negotiated package single commercial objective amount consideration paid one contract depends price performance contract good service promised contract single performance obligation accordance  2230
1080,definition contract modification,contract modification could approved writing oral agreement implied customary business practice
1081,definition change scope contract,party contract approved change scope contract yet determined corresponding change price entity estimate change transaction price arising modification accordance paragraphson estimating variable consideration paragraphson constraining estimate variable consideration
1082,purpose ,entity account contract modification separate contract following condition present scope contract increase addition promised good service distinct price contract increase amount consideration reflects entity standalone selling price additional promised good service appropriate adjustment price reflect circumstance particular contract
1083,amount consideration allocated remaining performance obligation,amount consideration allocated remaining performance obligation sum consideration promised customer included estimate transaction price recognised revenue consideration promised part contract modification
1084,meaning passage,contract inception entity ass good service promised contract customer identify performance obligation promise transfer customer either good service distinct series distinct good service substantially pattern transfer customer
1085,pattern transfer customer,series distinct good service pattern transfer customer following criterion met distinct good service series entity promise transfer customer would meet criterion paragraphto performance obligation satisfied time accordance paragraphsthe method would used measure entity progress towards complete satisfaction performance obligation transfer distinct good service series customer
1086,meaning passage,contract customer generally explicitly state good service entity promise transfer customer
1087,service provider need set contract,example service provider may need perform various administrative task set contract
1088,main term agreement,depending contract promised good service may include limited following sale good produced entity resale good purchased entity resale right good service purchased entity performing contractually agreedupon task customer providing service standing ready provide good service making good service available customer use customer decides providing service arranging another party transfer good service customer granting right good service provided future customer resell provide customer constructing manufacturing developing asset behalf customer granting licence granting option purchase additional good service
1089,difference promise transfer good service customer,good service promised customer distincte2 following criterion met customer benefit good service either together resource readily available customer entity promise transfer good service customer separately identifiable promise contract
1090,passage say fact entity regularly sell good service,example fact entity regularly sell good service separately would indicate customer benefit good service readily available resource
1091,factor indicate two promise transfer good service,factor indicate two promise transfer good service customer separately identifiable include limited following entity provides significant service integrating good service good service promised contract bundle good service represent combined output output customer contracted
1092,definition performance obligation,case would result entity accounting good service promised contract single performance obligation
1093,entity recognise revenue,entity recognise revenue entity satisfies performance obligation transferring promised good service customer
1094,performance obligation,performance obligation identified accordance paragraphsan entity determine contract inception whether satisfies performance obligation time satisfies performance obligation point time
1095,term control mean,control asset refers ability direct use obtain substantially remaining benefit asset
1096,purpose ,evaluating whether customer obtains control asset entity consider agreement repurchase asset
1097,definition performance obligation,entity transfer control good service time therefore satisfies performance obligation recognises revenue time one following criterion mete3e4 customer simultaneously receives consumes benefit provided entity performance entity performs entity performance creates enhances asset customer control asset created enhanced entity performance create asset alternative use entity entity enforceable right payment performance completed date
1098,definition alternative use,contract inception entity update assessment alternative use asset unless party contract approve contract modification substantively change performance obligation
1099,right payment performance completed date mean,right payment performance completed date need fixed amount
1100,indicator transfer control entity consider,addition entity consider indicator transfer control include limited following entity present right payment assetif customer presently obliged pay asset may indicate customer obtained ability direct use obtain substantially remaining benefit asset exchange
1101,entity measure revenue time,performance obligation satisfied time accordance paragraphsan entity recognise revenue time measuring progress towards complete satisfaction performance obligation
1102,purpose ,entity apply single method measuring progress performance obligation satisfied time entity apply method consistently similar performance obligation similar circumstance
1103,important method measuring progress,appropriate method measuring progress include output method input method
1104,measure progress mean,applying method measuring progress entity exclude measure progress good service entity transfer control customer
1105,definition change accounting estimate,change entity measure progress accounted change accounting estimate accordance ias8 accounting policy change accounting estimate error
1106,purpose ,entity would able reasonably measure progress towards complete satisfaction performance obligation lack reliable information would required apply appropriate method measuring progress
1107,circumstance entity may able reasonably measure outcome,circumstance entity may able reasonably measure outcome performance obligation entity expects recover cost incurred satisfying performance obligation
1108,amount transaction price allocated performance obligation,performance obligation satisfied entity recognise revenue amount transaction price allocated performance obligation
1109,definition transaction price,entity consider term contract customary business practice determine transaction price
1110,effect variable consideration estimate transaction price,nature timing amount consideration promised customer affect estimate transaction price
1111,purpose determining transaction price,purpose determining transaction price entity assume good service transferred customer promised accordance existing contract contract cancelled renewed modified
1112,amount consideration entity entitled exchange transferring,consideration promised contract includes variable amount entity estimate amount consideration entity entitled exchange transferring promised good service customer
1113,difference fixed amount fixed amount consideration,e6 promised consideration also vary entity entitlement consideration contingent occurrence nonoccurrence future event
1114,difference term contract amount consideration promised,addition term contract promised consideration variable either following circumstance exists customer valid expectation arising entity customary business practice published policy specific statement entity accept amount consideration le price stated contract
1115,likely amount variable consideration,likely amount may appropriate estimate amount variable consideration contract two possible outcome
1116,method used estimate effect uncertainty amount variable consideration,entity apply one method consistently throughout contract estimating effect uncertainty amount variable consideration entity entitled
1117,definition refund liability,refund liability measured amount consideration received entity expect entitled
1118,true,entity include transaction price amount variable consideration estimated accordance paragraphonly extent highly probable significant reversal amount cumulative revenue recognised occur uncertainty associated variable consideration subsequently resolved
1119,factor could increase likelihood revenue reversal,factor could increase likelihood magnitude revenue reversal include limited following amount consideration highly susceptible factor outside entity influence
1120,purpose  b63,entity apply  b63 account consideration form salesbased usagebased royalty promised exchange licence intellectual property
1121,value estimated transaction price,end reporting period entity update estimated transaction price represent faithfully circumstance present end reporting period change circumstance reporting period
1122,difference significant financing component promise financing,significant financing component may exist regardless whether promise financing explicitly stated contract implied payment term agreed party contract
1123,objective  bc232 illustative example,objective adjusting promised amount consideration significant financing component entity recognise revenue amount reflects price customer would paid promised good service customer paid cash good service transfer customer
1124,difference promised consideration cash selling price good service,difference promised consideration cash selling price good service arises reason provision finance either customer entity difference amount proportional reason difference
1125,long contract require entity adjust amount consideration effect,practical expedient entity need adjust promised amount consideration effect significant financing component entity expects contract inception period entity transfer promised good service customer customer pay good service one year le
1126,difference nominal amount promised consideration price customer would,entity may able determine rate identifying rate discount nominal amount promised consideration price customer would pay cash good service transfer customer
1127,purpose statement comprehensive income,entity present effect financing separately revenue contract customer statement comprehensive income
1128,value noncash consideration,determine transaction price contract customer promise consideration form cash entity measure noncash consideration fair value
1129,fair value noncash consideration,entity reasonably estimate fair value noncash consideration entity measure consideration indirectly reference standalone selling price good service promised customer exchange consideration
1130,fair value noncash consideration,fair value noncash consideration may vary form consideration
1131,statutory definition noncash consideration,entity account contributed good service noncash consideration received customer
1132,considered consideration payable customer,consideration payable customer also includes credit item applied amount owed entity
1133,amount consideration payable customer,amount consideration payable customer exceeds fair value distinct good service entity receives customer entity account excess reduction transaction price
1134,might implied entity customary business practice,promise might implied entity customary business practice
1135,objective allocating transaction price,objective allocating transaction price entity allocate transaction price performance obligation amount depicts amount consideration entity expects entitled exchange transferring promised good service customer
1136,purpose ,meet allocation objective entity allocate transaction price performance obligation identified contract relative standalone selling price basis accordance paragraphsexcept specified   8486
1137,paragraphmean,however paragraphsmay apply entity promise transfer series distinct good service identified single performance obligation accordance paragraphand promised consideration includes variable amount
1138,value transaction,allocate transaction price performance obligation relative standalone selling price basis entity determine standalone selling price contract inception distinct good service underlying performance obligation contract allocate transaction price proportion standalone selling price
1139,best evidence standalone selling price,best evidence standalone selling price observable price good service entity sell good service separately similar circumstance similar customer
1140,purpose statement,estimating standalone selling price entity consider information reasonably available entity
1141,best method estimating standalone selling price good,suitable method estimating standalone selling price good service include limited following adjusted market assessment approachan entity could evaluate market sell good service estimate price customer market would willing pay good service
1142,purpose  78,entity us combination method estimate standalone selling price promised good service contract entity evaluate whether allocating transaction price estimated standalone selling price would consistent allocation objective paragraphand requirement estimating standalone selling price  78
1143,difference discount bundle good service,customer receives discount purchasing bundle good service sum standalone selling price promised good service contract exceeds promised consideration contract
1144,difference discount contract discount contract,entity allocate discount entirely one performance obligation contract following criterion met entity regularly sell distinct good service contract standalone basis entity also regularly sell standalone basis bundle distinct good service discount standalone selling price good service bundle discount attributable bundle good service described paragraphis substantially discount contract analysis good service bundle provides observable evidence performance obligation entire discount contract belongs
1145,value discount,discount allocated entirely one performance obligation contract accordance paragraphan entity allocate discount using residual approach estimate standalone selling price good service accordance  79
1146,meaning word contract,variable consideration promised contract may attributable entire contract specific part contract either following one performance obligation contract one distinct good service promised series distinct good service form part single performance obligation accordance  22
1147,purpose  22,entity allocate variable amount entirely performance obligation distinct good service form part single performance obligation accordance paragraphif following criterion met term variable payment relate specifically entity effort satisfy performance obligation transfer distinct good service allocating variable amount consideration entirely performance obligation distinct good service consistent allocation objective paragraphwhen considering performance obligation payment term contract
1148,amount transaction price meet criterion  85,allocation requirement paragraphsshall applied allocate remaining amount transaction price meet criterion  85
1149,effect change transaction price contract inception,contract inception transaction price change various reason including resolution uncertain event change circumstance change amount consideration entity expects entitled exchange promised good service
1150,basis conclusion,entity allocate performance obligation contract subsequent change transaction price basis contract inception
1151,ad hoc price performance obligation,entity allocate change transaction price entirely one performance obligation distinct good service promised series form part single performance obligation accordance paragraphonly criterion paragraphon allocating variable consideration met
1152,simplest way allocate change transaction price,however change transaction price occurs contract modification entity apply paragraphsto allocate change transaction price whichever following way applicable entity allocate change transaction price performance obligation identified contract modification extent change transaction price attributable amount variable consideration promised modification modification accounted accordance  21
1153,value contract,entity recognise asset incremental cost obtaining contract customer entity expects recover cost
1154,cost obtaining contract,incremental cost obtaining contract cost entity incurs obtain contract customer would incurred contract obtained
1155,cost obtaining contract,cost obtain contract would incurred regardless whether contract obtained recognised expense incurred unless cost explicitly chargeable customer regardless whether contract obtained
1156,cost obtaining contract,practical expedient entity may recognise incremental cost obtaining contract expense incurred amortisation period asset entity otherwise would recognised one year le
1157,definition cost fulfil contract,cost incurred fulfilling contract customer within scope another standard entity recognise asset cost incurred fulfil contract cost meet following criteriae7 cost relate directly contract anticipated contract entity specifically identify cost generate enhance resource entity used satisfying performance obligation futuree8 cost expected recovered
1158,scope standard,cost incurred fulfilling contract customer within scope another standard entity account cost accordance standard
1159,cost relate directly contract,cost relate directly contract include following direct labour direct material allocation cost relate directly contract contract activity cost explicitly chargeable customer contract cost incurred entity entered contract
1160,cost contract,entity recognise following cost expense incurred general administrative cost cost wasted material labour resource fulfil contract reflected price contract cost relate satisfied performance obligation contract cost entity distinguish whether cost relate unsatisfied performance obligation satisfied performance obligation
1161,definition asset,asset may relate good service transferred specific anticipated contract
1162,definition change accounting estimate,change accounted change accounting estimate accordance ias8
1163,amount consideration entity expects receive exchange good service,entity recognise impairment loss profit loss extent carrying amount asset recognised accordance paragraphorexceeds remaining amount consideration entity expects receive exchange good service asset relates le cost relate directly providing good service recognised expense
1164,principle determining amount consideration entity expects receive,purpose applying paragraphto determine amount consideration entity expects receive entity use principle determining transaction price adjust amount reflect effect customer credit risk
1165,entity recognises impairment loss asset,entity recognises impairment loss asset recognised accordance paragraphorthe entity recognise impairment loss asset related contract recognised accordance another standard
1166,definition impairment loss,entity recognise profit loss reversal impairment loss previously recognised accordance paragraphwhen impairment condition longer exist improved
1167,definition contract asset,contract asset disclosure monetaryinstant debit ifrs15
1168,contract liability,customer pay consideration entity right amount consideration unconditional entity transfer good service customer entity present contract contract liability payment made payment due
1169,true story entity ass contract asset impairment accordance,impairment contract asset measured presented disclosed basis financial asset within scope ifrs9
1170,definition right consideration,right consideration unconditional passage time required payment consideration due
1171,standard say alternative description,standard us term contract asset contract liability prohibit entity using alternative description statement financial position item
1172,objective disclosure requirement,objective disclosure requirement entity disclose sufficient information enable user financial statement understand nature amount timing uncertainty revenue cash flow arising contract customer
1173,purpose ,entity consider level detail necessary satisfy disclosure objective much emphasis place various requirement
1174,purpose standard,entity need disclose information accordance standard provided information accordance another standard
1175,definition reporting period,entity disclose following amount reporting period unless amount presented separately statement comprehensive income accordance standard revenue recognised contract customer entity disclose separately source revenue revenue contract customer disclosure monetaryduration credit ifrs15
1176,definition guidance  b87b89,entity apply guidance  b87b89 selecting category use disaggregate revenue
1177,definition ifrs823,addition entity disclose sufficient information enable user financial statement understand relationship disclosure disaggregated revenue revenue information disclosed reportable segment entity applies ifrs8 operating segment
1178,definition contract,entity disclose following opening closing balance receivables contract asset contract liability contract customer otherwise separately presented disclosed contract asset disclosure monetaryinstant debit ifrs15
1179,effect performance obligation contract asset contract liability balance,entity explain timing satisfaction performance obligation relates typical timing payment effect factor contract asset contract liability balance
1180,definition change value contract,entity provide explanation significant change contract asset contract liability balance reporting period
1181,purpose disclosure,entity disclose information performance obligation contract customer including description following entity typically satisfies performance obligation including performance obligation satisfied billandhold arrangement description entity typically satisfies performance obligation disclosure text significant payment term description significant payment term contract customer disclosure text nature good service entity promised transfer highlighting performance obligation arrange another party transfer good service description nature good service entity promised transfer disclosure textdescription performance obligation arrange another party transfer good service disclosure text obligation return refund similar obligation description obligation return refund similar obligation disclosure text type warranty related obligation
1182,amount transaction price allocated remaining performance obligation,entity disclose following information remaining performance obligation aggregate amount transaction price allocated performance obligation unsatisfied end reporting period transaction price allocated remaining performance obligation disclosure monetaryinstant credit explanation entity expects recognise revenue amount disclosed accordance paragraphwhich entity disclose either following way quantitative basis using time band would appropriate duration remaining performance obligation disclosure transaction price allocated remaining performance obligation disclosuredisclosure transaction price allocated remaining performance obligation disclosure text blockmaturity disclosure ias1
1183,purpose  120,practical expedient entity need disclose information paragraphfor performance obligation either following condition met performance obligation part contract original expected duration one year le entity recognises revenue satisfaction performance obligation accordance  b16
1184,difference transaction price value contract,example estimate transaction price would include estimated amount variable consideration constrained
1185,purpose standard,entity disclose judgement change judgement made applying standard significantly affect determination amount timing revenue contract customer
1186,purpose disclosure,performance obligation entity satisfies time entity disclose following method used recognise revenue description method used recognise revenue contract customer disclosure text explanation method used provide faithful depiction transfer good service
1187,purpose disclosure,performance obligation satisfied point time entity disclose significant judgement made evaluating customer obtains control promised good service
1188,purpose disclosure text,entity disclose information method input assumption used following determining transaction price includes limited estimating variable consideration adjusting consideration effect time value money measuring noncash consideration disclosure information method input assumption used determining transaction price disclosure text block assessing whether estimate variable consideration constrained disclosure information method input assumption used assessing whether estimate variable consideration constrained disclosure text block allocating transaction price including estimating standalone selling price promised good service allocating discount variable consideration specific part contract disclosure information method input assumption used allocating transaction price disclosure text block measuring obligation return refund similar obligation
1189,method used determine amortisation asset recognised cost obtain,entity describe following judgement made determining amount cost incurred obtain fulfil contract customer description judgement made determining amount cost obtain fulfil contract customer disclosure text method us determine amortisation reporting period
1190,definition contract,entity disclose following closing balance asset recognised cost incurred obtain fulfil contract customer main category asset asset recognised cost obtain fulfil contract customer disclosure monetaryinstant debitcategories asset recognised cost obtain fulfil contract customer disclosure990000 category asset recognised cost obtain fulfil contract customer disclosure990000 disclosure asset recognised cost obtain fulfil contract customer disclosuredisclosure asset recognised cost obtain fulfil contract customer disclosure text blockcosts obtain contract customer exampleprecontract cost examplesetup cost example amount amortisation impairment loss recognised reporting period
1191,purpose ,entity elect use practical expedient either   entity disclose fact
1192,purpose standard,standard set principle recognition measurement presentation disclosure lease
1193,purpose standard,entity consider term condition contract relevant fact circumstance applying standard
1194,scope standard,entity apply standard lease including lease rightofuse asset sublease except lease explore use mineral oil natural gas similar nonregenerative resource lease biological asset within scope ias41 agriculture held lessee service concession arrangement within scope ifricservice concession arrangement licence intellectual property granted lessor within scope ifrs15 revenue contract customer right held lessee licensing agreement within scope ias38 intangible asset item motion picture film video recording play manuscript patent copyright
1195,definition intangible asset,lessee may required apply standard lease intangible asset described  3
1196,underlying asset,lessee may elect apply requirement paragraphsto shortterm lease lease underlying asset low value
1197,principle  2249,lessee apply another systematic basis basis representative pattern lessee benefit
1198,new lease,lessee account shortterm lease applying paragraphthe lessee consider lease new lease purpose standard lease modification change lease term
1199,definition class underlying asset,election shortterm lease made class underlying asset right use relates
1200,definition lease,contract contains lease contract conveys right control use identified asset period time exchange consideration
1201,amount use identified asset,period time may described term amount use identified asset
1202,lease,entity reassess whether contract contains lease term condition contract changed
1203,purpose , b32b33 set guidance separating component contract
1204,basis contract,contract contains lease component one additional lease nonlease component lessee allocate consideration contract lease component basis relative standalone price lease component aggregate standalone price nonlease component
1205,price component,relative standalone price lease nonlease component determined basis price lessor similar supplier would charge entity component similar component separately
1206,ifrs9 financial instrument,lessee apply practical expedient embedded derivative meet criterion  4
1207,practical expedient  15,unless practical expedient paragraphis applied lessee account nonlease component applying applicable standard
1208,ifrs15,contract contains lease component one additional lease nonlease component lessor allocate consideration contract applying paragraphsof ifrs15
1209,term lease,entity determine lease term noncancellable period lease together period covered option extend lease lessee reasonably certain exercise option period covered option terminate lease lessee reasonably certain exercise option
1210,purpose ,assessing whether lessee reasonably certain exercise option extend lease exercise option terminate lease entity consider relevant fact circumstance create economic incentive lessee exercise option extend lease exercise option terminate lease described  b37b40
1211,purpose ,lessee reassess whether reasonably certain exercise extension option exercise termination option upon occurrence either significant event significant change circumstance within control lessee affect whether lessee reasonably certain exercise option previously included determination lease term exercise option previously included determination lease term
1212,happens lessee exercise option previously included entity determination,example noncancellable period lease change lessee exercise option previously included entity determination lease term lessee exercise option previously included entity determination lease term event occurs contractually obliges lessee exercise option previously included entity determination lease term event occurs contractually prohibits lessee exercising option previously included entity determination lease term
1213,underlying asset,commencement date lessee recognise rightofuse asset lease liability
1214,resale value rightofuse asset,commencement date lessee measure rightofuse asset cost
1215,cost rightofuse asset,lessee incurs obligation cost either commencement date consequence used underlying asset particular period
1216,definition lessee obligation produce inventory,lessee applies ias2 inventory cost incurred particular period consequence used rightofuse asset produce inventory period
1217,much lease liability,commencement date lessee measure lease liability present value lease payment paid date
1218,lease payment included measurement lease liability,commencement date lease payment included measurement lease liability comprise following payment right use underlying asset lease term paid commencement datee1 fixed payment le lease incentive receivable variable lease payment depend index rate initially measured using index rate commencement date amount expected payable lessee residual value guarantee exercise price purchase option lessee reasonably certain exercise option payment penalty terminating lease lease term reflects lessee exercising option terminate lease
1219,type payment depend index rate described  27,variable lease payment depend index rate described paragraphinclude example payment linked consumer price index payment linked benchmark interest rate payment vary reflect change market rental rate
1220,cost model rightofuse asset,commencement date lessee measure rightofuse asset applying cost model unless applies either measurement model described paragraphsand 35
1221,cost rightofuse asset,apply cost model lessee measure rightofuse asset cost le accumulated depreciation accumulated impairment loss adjusted remeasurement lease liability specified  36
1222,definition depreciation requirement ias16 property plant,lessee apply depreciation requirement ias16 property plant equipment depreciating rightofuse asset subject requirement  32
1223,lease terminated lessee depreciate rightof,otherwise lessee depreciate rightofuse asset commencement date earlier end useful life rightofuse asset end lease term
1224,purpose ias36 impairment asset,lessee apply ias36 impairment asset determine whether rightofuse asset impaired account impairment loss identified
1225,definition investment property ias40,lessee applies fair value model ias40 investment property investment property lessee also apply fair value model rightofuse asset meet definition investment property ias40
1226,type asset lessee applying,rightofuse asset relate class property plant equipment lessee applies revaluation model ias16 lessee may elect apply revaluation model rightofuse asset relate class property plant equipment
1227,purpose lease,commencement date lessee measure lease liability increasing carrying amount reflect interest lease liability reducing carrying amount reflect lease payment made remeasuring carrying amount reflect reassessment lease modification specified paragraphsor reflect revised insubstance fixed lease payment
1228,rate interest remaining balance lease liability,interest lease liability period lease term amount produce constant periodic rate interest remaining balance lease liability
1229,lessee recognise profit loss commencement date,commencement date lessee recognise profit loss unless cost included carrying amount another asset applying applicable standard interest lease liability variable lease payment included measurement lease liability period event condition trigger payment occurs
1230,remeasurement lease liability,commencement date lessee apply paragraphsto remeasure lease liability reflect change lease payment
1231,remeasurement lease liability,lessee remeasure lease liability discounting revised lease payment using revised discount rate either change lease term described  2021
1232,discount rate remainder lease term,applying paragrapha lessee determine revised discount rate interest rate implicit lease remainder lease term rate readily determined lessee incremental borrowing rate date reassessment interest rate implicit lease readily determined
1233,remeasurement lease liability,lessee remeasure lease liability reflect revised lease payment change cash flow
1234,true,applying paragrapha lessee use unchanged discount rate unless change lease payment result change floating interest rate
1235,purpose ,lessee account lease modification separate lease modification increase scope lease adding right use one underlying asset consideration lease increase amount commensurate standalone price increase scope appropriate adjustment standalone price reflect circumstance particular contract
1236,discount rate remainder lease term,revised discount rate determined interest rate implicit lease remainder lease term rate readily determined lessee incremental borrowing rate effective date modification interest rate implicit lease readily determined
1237,purpose ,making corresponding adjustment rightofuse asset lease modification
1238,lease modification,practical expedient lessee may elect ass whether rent concession meet condition  46b lease modification
1239,practical expedient  46a,practical expedient  46a applies rent concession occurring direct consequence covid19 pandemic following condition met change lease payment result revised consideration lease substantially le consideration lease immediately preceding change reduction lease payment affect payment originally due beforejune substantive change term condition lease
1240,definition lease liability,53 j disclosure220000 lease liability separately liability
1241,requirement paragraphapply,requirement paragraphdoes apply rightofuse asset meet definition investment property presented statement financial position investment property
1242,difference interest expense depreciation charge,statement profit loss comprehensive income lessee present interest expense lease liability separately depreciation charge rightofuse asset
1243,definition lease,statement cash flow lessee classify cash payment principal portion lease liability within financing activity cash payment interest portion lease liability applying requirement ias7 statement cash flow interest paid shortterm lease payment payment lease lowvalue asset variable lease payment included measurement lease liability within operating activity
1244,objective disclosure,objective disclosure lessee disclose information note together information provided statement financial position statement profit loss statement cash flow give basis user financial statement ass effect lease financial position financial performance cash flow lessee
1245,purpose ,lessee disclose information lease lessee single note separate section financial statement
1246,amount interest expense lease liability,lessee disclose following amount reporting period depreciation charge rightofuse asset class underlying asset depreciation rightofuse asset disclosure monetaryduration interest expense lease liability interest expense lease liability disclosure monetaryduration debit expense relating shortterm lease accounted applying  6
1247,format appropriate lessee provide disclosure specified  53,lessee provide disclosure specified paragraphin tabular format unless another format appropriate
1248,amount shortterm lease lessee committed,lessee disclose amount lease commitment shortterm lease accounted applying paragraphif portfolio shortterm lease committed end reporting period dissimilar portfolio shortterm lease shortterm lease expense disclosed applying paragraphrelates
1249,lessee required provide disclosure paragraphf,case lessee required provide disclosure  rightofuse asset
1250,revaluation surplus,lessee measure rightofuse asset revalued amount applying ias16 lessee disclose information required paragraphof ias16 rightofuse asset
1251,basis conclusion ifrs7 financial instrument disclosure,gross lease liability disclosure monetaryinstant credit ifrs7
1252,definition lease,includes exposure arising variable lease payment information lessee exposure arising variable lease payment example text extension option termination option information lessee exposure arising extension option termination option example text residual value guarantee information lessee exposure arising residual value guarantee example text lease yet commenced lessee committed
1253,definition lease,lessee account shortterm lease lease lowvalue asset applying paragraphshall disclose fact
1254,amount profit loss recognised reporting period,lessee applies practical expedient  46a lessee disclose applied practical expedient rent concession meet condition  46b applied rent concession information nature contract applied practical expedient disclosure information nature contract lessee applied practical expedient  46a ifrs16 applied rent concession occurring direct consequence covid19 pandemic disclosure text blockstatement lessee applied practical expedient  46a ifrs16 rent concession occurring direct consequence covid19 pandemic meet condition  46b ifrs16 disclosure text amount recognised profit loss reporting period reflect change lease payment arise rent concession lessee applied practical expedient  46a
1255,difference finance lease operating lease,lessor classify lease either operating lease finance lease
1256,definition operating lease,lease classified operating lease transfer substantially risk reward incidental ownership underlying asset
1257,difference finance lease operating lease,whether lease finance lease operating lease depends substance transaction rather form contract
1258,could lead lease classified finance lease,indicator situation individually combination could also lead lease classified finance lease lessee cancel lease lessor loss associated cancellation borne lessee gain loss fluctuation fair value residual accrue lessee lessee ability continue lease secondary period rent substantially lower market rent
1259,definition operating lease,clear feature lease transfer substantially risk reward incidental ownership underlying asset lease classified operating lease
1260,difference lease classification modification,lease classification made inception date reassessed lease modification
1261,commencement date lessor recognise asset held finance lease,commencement date lessor recognise asset held finance lease statement financial position present receivable amount equal net investment lease
1262,difference interest rate used head lease discount rate used,case sublease interest rate implicit sublease readily determined intermediate lessor may use discount rate used head lease measure net investment sublease
1263,difference interest rate implicit lease net investment lease,interest rate implicit lease defined way initial direct cost included automatically net investment lease need add separately
1264,payment right use underlying asset lease term,commencement date lease payment included measurement net investment lease comprise following payment right use underlying asset lease term received commencement date fixed payment le lease incentive payable variable lease payment depend index rate initially measured using index rate commencement date residual value guarantee provided lessor lessee party related lessee third party unrelated lessor financially capable discharging obligation guarantee exercise price purchase option lessee reasonably certain exercise option payment penalty terminating lease lease term reflects lessee exercising option terminate lease
1265,difference revenue cost sale,commencement date manufacturer dealer lessor recognise following finance lease revenue fair value underlying asset lower present value lease payment accruing lessor discounted using market rate interest cost sale cost carrying amount different underlying asset le present value unguaranteed residual value selling profit loss accordance policy outright sale ifrs15 applies
1266,finance lease asset mean,finance lease asset manufacturer dealer lessor give rise profit loss equivalent profit loss resulting outright sale underlying asset normal selling price reflecting applicable volume trade discount
1267,would result lessor recognising excessive portion total income,use rate would result lessor recognising excessive portion total income transaction commencement date
1268,cost incurred manufacturer dealer lessor connection obtaining,manufacturer dealer lessor recognise expense cost incurred connection obtaining finance lease commencement date mainly related earning manufacturer dealer selling profit
1269,tenancy term lease,lessor recognise finance income lease term based pattern reflecting constant periodic rate return lessor net investment lease
1270,purpose lease payment,lessor apply lease payment relating period gross investment lease reduce principal unearned finance income
1271,purpose lease,lessor review regularly estimated unguaranteed residual value used computing gross investment lease
1272,definition lessor classifies asset finance lease,lessor classifies asset finance lease held sale applying ifrs5 noncurrent asset held sale discontinued operation account asset accordance standard
