,question,answer
1109,average collection period,average collection period average number day betweenthe date credit sale made andthe date money receivedcollected customer
1110,average collection period,alternate formula calculating average collection period average account receivable balance divided average credit sale per day
1111,many day average credit sale per day take collect,using alternate formula first determine average credit sale per day theof credit sale divided bydays 1096
1112,pro forma financial statement,pro forma financial statement one based certain assumption projection
1113,definition pro forma financial statement,projected financial statement referred pro forma financial statement
1114,common accounting ratio used financial analysis company,company accounting ratio compared ratio company industry
1115,time interest earned ratio measure corporation ability make,larger time interest earned ratio likely corporation make interest payment
1116,trading equity,trading equity also referred financial leverage occurs corporation us bond debt preferred stock increase earnings common stock
1117,limit much debt added corporation financial future,limit proportion debt added corporation financial future jeopardized
1118,definition turnover ratio,turnover ratio indicate efficiency effectiveness company management
1119,inventory turnover low day sale inventory high,instance inventory turnover low day sale inventory high
1120,definition constant quantity item inventory,assume company maintains constant quantity item inventory
1121,difference percentage base year percentage,analysis financial information trend analysis presentation amount several year expressed percentage base year
1122,trend service company revenue net income number,assume want see trend service company revenue net income number client yearsthrough 2023
1123,inventory turnover ratio,company inventory turnover often expressed company cost good sold year divided average cost inventory year
1124,effect slowing conversion inventory item cash,inventory item slow converted cash company money sitting good instead company checking account used pay supplier employee lender others
1125,interest coverage ratio,interest coverage ratio computed dividinga corporation annual income interest income tax expense byits annual interest expense
1126,difference bond payable longterm debt,context bond refers bond payable form longterm debt typically promise pay interest every six month principal amount specified maturity date
1127,difference interest rate rate corporation income tax,corporation income tax rate increment isthe corporation save paying income tax 240000
1128,drawback roi,drawback roi accounting amount revenue expense asset book value etc
1129,difference income statement benefit amount spent,situation income statement benefit related amount spent
1130,financial ratio return equity,financial ratio return stockholder equity calculated dividing corporation net income income tax average amount stockholder equity period net income
1131,return stockholder,equity wasat beginning year wasat end year increase occurred uniform rate throughout year
1132,unexplained difference accountant state bank statement,unexplained difference accountant state bank statement reconciled
1133,difference company cash account bank,note balance different company general ledger cash account balance 7000
1134,bank credit memo,bank credit memo item company bank account statement increase company checking account balance
1135,outstanding check,outstanding check check company issued recorded general ledger account check yet cleared bank account drawn
1136,bank reconciliation mean,outstanding check previous month clear bank mean bank paid check check appear deduction statement
1137,difference bank reconciliation general ledger account,adjustment result item appearing bank statement recorded company general ledger account
1138,deposit transit,deposit transit also known outstanding deposit
1139,reason bank statement report thea june 30,done theis rightfully included company general ledger junebut theis reported bank statement june 30
1140,item bank reconciliation require journal entry,item appear bank statement yet recorded company general ledger account
1141,outstanding deposit,outstanding deposit refers company receipt cash check customer etc
1142,amount money reported part company cash balance,thisshould reported part company cash balance october 31
1143,meaning bank overdraft,check paid bank bank checking account negative balance
1144,happens bank return check endorserspayees,cause company incur two bank fee bank returning two check endorserspayees
1145,process reconciling checking account balance bank record,part internal control company reconcile checking account balance general ledger account balance bank record
1146,difference checking account checking account,company often several checking account
1147,bank reconciliation,balance company checkbook mean comparing amount bank statement amount company checkbook check register related general ledger account arriving correct balance record
1148,main topic article,thorough discussion example balancing checkbook see major topic bank reconciliation bank reconciliation business form referenced
1149,meaning per annum,often per annum omitted amortgage loan
1150,compute rate per annum,compute rate per annum restate amount multiplying theand thedays 18
1151,early payment discount,seller may refer early payment discount sale discount
1152,difference early payment discount credit card,let assume company sell good credit offer early payment discount expressed asnet 30
1153,direct writeoff method financial reporting,reason accounting profession allow direct writeoff method financial reporting
1154,annualizing,annualizing mean taking partial year amount converting full year amount
1155,irrevocable letter credit,irrevocable letter credit assures seller paid bank buyer fails pay
1156,selling price product,retailer want earn positive gross margin selling price must include additional amount added retailer cost product
1157,job costing system,job order costing job costing system assigning accumulating manufacturing cost individual unit output
1158,purpose cost accounting,example bank use cost accounting determine cost processing customer check andor deposit maintaining checking account processing international wire transfer servicing mortgage loan etc
1159,definition direct labor,example direct labor employee working assembly line manufacturer
1160,cost good manufactured,calculation presented schedule statement
1161,salary,salary wage form compensation paid employee company
1162,accounting method salary wage company employee working non,salary wage company employee working nonmanufacturing function e
1163,salary wage people nonmanufacturing function selling,salary wage people nonmanufacturing function selling general administrative etc
1164,difference decrease inventory decrease inventory,increase inventory subtracted company purchase good decrease inventory added company purchase good arrive cost good sold
1165,common method presenting cost good sold income statement,common method presenting calculation cost good sold income statement purchase ofminus increase inventory 990
1166,difference cost good sold cost item added,purchase added inventory part cost good sold
1167,definition manufacturing cost,manufacturing cost cost material plus cost convert material product
1168,two cost flow assumption used cost accounting textbook,cost accounting textbook likely present cost calculation per equivalent unit production two cost flow assumption weightedaverage fifo
1169,direct labor cost per unit month june,department direct labor cost wasduring month june direct labor cost per equivalent unit 10
1170,cost good sold,inflation retailer must also elect cost flow assumption order determine cost ending inventory course factor calculation cost good sold
1171,optimum quantity item purchased one time,eoq acronym economic order quantity
1172,much cost carry one unit inventory,company incremental cost process order isand incremental annual cost carry product inventory isper unit
1173,standard cost,standard cost often integral part manufacturer annual profit plan operating budget
1174,amount workinprocess inventory manufacturer balance sheet,amount workinprocess inventory would reported along raw material inventory finished good inventory manufacturer balance sheet current asset
1175,difference workinprogress constructionin,use term workinprogress mean construction long term asset yet completed
1176,gross profit method estimating ending inventory,gross profit method estimating ending inventory assumes gross profit percentage gross margin ratio known
1177,much cost company inventory,assume need estimate cost company julyinventory
1178,two cost flow assumption used u company inventory item,fifo lifo two cost flow assumption used u
1179,difference positive gross profit negative operating income,result larger gross profit positive operating income
1180,company use cost flow assumption,another reason company use lifo cost flow assumption improve matching cost sale
1181,cost flow assumption,fifo cost flow assumption oldest cost inventory item first cost removed inventory reported cost good sold
1182,many unit left inventory,therefore beunits remaining inventory
1183,definition production cost,managerial accounting cost accounting production cost cost occur manufacturing facility
1184,gross profit method,gross profit method technique used estimate amount ending inventory
1185,gross profit method,let assume previous inventory amount wasand purchase 75000
1186,definition workinprocess inventory,workinprocess inventory pertains good manufacturing begun yet completed
1187,cost good workinprocess,generally amount workinprocess relatively small compared manufacturer cost good sold finished good inventory
1188,definition inventory shrinkage,inventory shrinkage term describe loss inventory
1189,many unit product x hand,assume retailer computerized inventory record indicates thatunits product x hand
1190,safety stock,company manufacturer safety stock material could minimize risk production disrupted
1191,risk company increasing safety stock peak sale period,demand constant company could increase quantity safety stock peak sale period reduce quantity period low sale
1192,cost flow assumption used company,much depend cost flow assumption used
1193,meaning fifo,economist may state larger profit using fifo illusory since good replaced higher current cost
1194,best way avoid paying income tax illusory profit,avoiding paying income tax illusory profit give company money required replace good new inflated cost
1195,lower income mean,corporation end lower taxable income likely mean lower income tax expense
1196,much cost theunits sold,using lifo cost flow assumption cost theunits sold using fifo cost flow assumption cost theunits sold gross profit using lifo sale cogsgross profit using fifo sale cogsnote lifo gross profit isle fifo gross profit
1197,example expense assigned product,cost advertising preparing invoice delivery expense office salary office rent utility interest loan example expense assigned product
1198,cost product known,word cost product known precision even though accountant compute per unit cost nearest penny
1199,difference material usage variance standard quantity direct material used,material usage variance result using le standard quantity direct material used actual good produced
1200,difference workinprocess inventory finished good inventory,significant variance caused inefficiency may divided workinprocess inventory finished good inventory cost good sold
1201,cost missing inventory,approximate cost missing inventory difference betweenthe cost inventory item physically present accounted andthe cost inventory hand based accounting information
1202,determine cost missing inventory,company accounting record inventory system us perpetual inventory system determining cost missing inventory easy
1203,much company carry additional increment inventory,company estimated annual cost carry additional increment inventory beof item cost
1204,acronym lastin first,lifo acronym lastin firstout
1205,cost inventory end 2023,lifo cost flow assumption theunits sold would consist cost recently purchasedunits atplus cost ofunits purchased inateach
1206,reorder point,reorder point quantity unit inventory time order placed purchase additional unit
1207,many unit company need order,assume company determined reorder point product x isunits economic order quantity isunits
1208,book depreciation,book depreciation amount recorded company general ledger account reported company financial statement
1209,much depreciation expense recorded general ledger account reported,company assumes salvage value end theyears annual depreciation expense recorded general ledger account reported financial statement likely beeach year
1210,difference tax regulation book depreciation,tax regulation specify useful life asset also allow accelerated depreciation immediate expensing certain amount company tax return
1211,best way depreciate equipment,assuming company purchase equipment ofthe irs regulation may require equipment depreciated overyears allows accelerated method depreciation
1212,difference book depreciation tax depreciation,generally difference book depreciation tax depreciation involves timing cost asset appear depreciation expense company financial statement versus depreciation expense company income tax return
1213,salvage value,accounting asset salvage value estimated amount company receive end plant asset useful life
1214,common calculation asset salvage value,perhaps common calculation asset salvage value assume salvage value
1215,definition scrap value,cost accounting scrap value refers relatively insignificant amount manufacturer receives sale production material remain manufacture product
1216,major topic article,example scrap value meant disposal residual salvage value plant asset see major topic depreciation
1217,meaning word amortization,accounting amortization conceptually similar depreciation plant asset depletion natural resource
1218,common example term amortization,addition amortization schedule loan payable loan receivable accountant use term amortization mean systematic allocation asset liability amount balance sheet expense income statement
1219,purpose depreciation,accountant point depreciation allocation process result reporting asset market value
1220,difference direct indirect cost,depreciation expense associated asset direct cost indirect cost direct indirect cost
1221,difference depreciation equipment cost product,indirect cost company allocate depreciation three version product line processed finishing department
1222,difference unitsofactivity depreciation method de,unitsofactivity depreciation unique among common method depreciation useful life asset depreciated expressed calculated based passage time
1223,much depreciation company record every robot operation,unitsofactivity method company recordof depreciation every robot operation
1224,amount reported contra asset account accumulated depreciation,amount reported contra asset account accumulated depreciation merely report total amount asset cost moved income statement form depreciation expense since asset acquired
1225,midmonth convention depreciation,midmonth convention pertinent income tax depreciation certain property
1226,depreciation taken warehouse,midmonth convention company put warehouse service octoberit assumed warehouse put service middle october onehalf month depreciation october
1227,many month havebiweekly payday,withpaydays year andmonths year month havebiweekly payday sincepaydays divided bymonths 2
1228,many week year semimonthly pay period,withweeks year andmonths year semimonthly pay period average 2
1229,much new employee earn,employee pay record indicate gross salary ofeach biweekly payday
1230,salary new employee,employee pay record indicate gross salary 2166
1231,fringe benefit rate,fringe benefit rate percentage result dividing cost employee fringe benefit wage paid employee hour actually worked
1232,many hour year employee work,let assume company operatesdays week forhours day forweeks year resulting total ofhours per year
1233,federal state local payroll tax,payroll tax federal state local tax pertain wage salary commission bonus etc
1234,futa tax,unemployment tax addition state unemployment tax
1235,maximum cost futa per year per employee,employee earnsduring calendar year employer cost employee be5000 x 0
1236,difference payroll withholding health insurance withholding,payroll withholding health insurance amount deducted employee pay portion cost company health insurance plan
1237,best way record withholding,another way record withholding credit current liability account employee withholding insurance thewithheld employee
1238,definition gross wage,sometimes gross wage used describe amount earned hourlypaid employee
1239,difference gross wage employee deduction payroll withholding,employee workshours week decemberand earnsper hour gross wage earned 800
1240,cash basis accounting,cash basis accounting employer financial statement report gross wage based amount paid employee accounting period
1241,wage paid,however wage earned week decemberare paid januarythe wage included w2 form year paid
1242,annual wage limit social security payroll tax,annual wage limit medicare payroll tax portion fica
1243,much employee wage subject social security tax,onlyof employee wage subject social security tax 6
1244,additional medicare tax apply higher income individual,however additional medicare tax higher income individual matched employer
1245,difference payroll tax wage,payroll tax withheld employee wage
1246,difference social security medicare payroll tax,additional medicare tax addition medicare payroll tax social security payroll tax
1247,much withheld sam gross pay,theis withheld sam gross pay remitted jones corporation u
1248,rate withholding medicare tax,regular medicare tax withheld employee gross pay without limit rate 1
1249,gross pay,gross pay amount employee paid employer withholds fica income tax applicable amount wage garnishment insurance payment union due saving retirement contribution etc
1250,net pay,net pay amount remaining payroll tax amount deducted employee gross pay
1251,much gross pay administrative assistant,example administrative assistant annual gross salary ofper year person semimonthly gross pay 2000
1252,corporation issue additional share common stock number issued outstanding share increase,corporation issue additional share common stock number issued outstanding share increase
1253,benefit debt financing,income tax saving partially offset interest expense debt
1254,yield abond,cash payment ofevery six month five year thecash investment plus gain result required yield 10
1255,effective interest rate,effective interest rate true rate interest earned
1256,difference theand thebond,word investor pay le theso effective interest rate remaining life bond 6
1257,amortization premium bond payable,amortization premium bond payable systematic movement amount premium received corporation issued bond
1258,value bond,assume corporation issue bond payable maturity value ofand receives premium 60000
1259,amount bond premium,amount bond premium discounted market interest rate time bond sale
1260,premium bond,person would buy bond premium bond stated interest rate greater expected current bond market
1261,happens bond payable issued amount greater face maturity amount,premium bond payable occurs bond payable issued amount greater face maturity amount
1262,book value bond payable,combination ofthe unamortized credit balance account premium bond payablethe unamortized debit balance account bond issue cost andthecredit balance bond payable known book value carrying value bond payable
1263,selling price bond,selling price bond present value future contractual cash amount going received owner bond
1264,current market interest rate similar bond,current market interest rate similar bond 8
1265,yield maturity,yield maturity total return earned someone purchase bond hold maturity date
1266,current market value a100000 bond,current market interest rate type bond isthe current market value thebond le 100000
1267,stated interest rate bond payable,stated interest rate bond payable annual interest rate printed face bond stated related legal document known bond indenture
1268,much corporation agreeing pay end thesemiannual,mean corporation agrees pay interest ofsemiannually end thesemiannual period
1269,actual interest rate bond payable,actual real interest rate bond payable also known effective interest rate yield maturity yield market interest rate
1270,reason bond purchased discount face maturity,reason bond purchased discount face maturity amount current market interest rate nowand bond paying 7
1271,precise way amortize bond,however straightline method amortization le precise simpler also acceptable
1272,much discount bond payable must recorded contraliability account,corporation must also record bond issue cost ofin contraliability account bond issue cost
1273,book value bond payable,book value bond payable also known carrying value bond payable
1274,annuity arrears,accounting ordinary annuity refers series identical cash amount amount occurring end equal time interval
1275,example ordinary annuity,series semiannual interest payment part bond payable example ordinary annuity
1276,face value bond payable,face value bond payable amount printed bond
1277,bond issuer obligation pay,assume corporation issue bond payable face value ofand stated interest rate ofper year
1278,dividend payment stockholder,dividend payment stockholder usually cash payment reduces corporation asset cash corporation stockholder equity
1279,current liability account dividend payable closed,end year dividend account closed retained earnings
1280,public sector mean,public sector refers governmentowned organization governmentprovided service
1281,definition private sector,even largest corporation common stock publiclytraded new york stock exchange part private sector
1282,stockholder,stockholder shareholder owner share corporation common preferred stock
1283,stockholder party stake corporation,word stockholder isnt party stake corporation
1284,stakeholder corporation,stakeholder corporation include stockholder creditor employee family employee supplier customer community others
1285,cost capital u corporation,corporation cost bond longterm loan usually least expensive component cost capital
1286,public company,public company business owned individual
1287,public company,public company corporation whose stock traded stock exchange said stock publicly traded corporation publiclyheld corporation publiclytraded corporation
1288,definition capital stock,amount received corporation share capital stock issued reported paidin capital within stockholder equity section balance sheet
1289,difference common stock preferred stock,common stock issued every u
1290,purpose stock split,stock split usually increase number share corporation common stock intention reducing market price share stock
1291,many share common stock stockholder stock split,individual stockholder ownedshares orof theshares stock split stockholder ownshares orof theshares stock split
1292,journal entry needed stock split,journal entry needed stock split memo entry note number share changed par value per share changed
1293,preferred stock,word preferred refers dividend paid corporation liquidation corporation
1294,difference dividend inflation rate,since dividend preferred stock usually fixed amount forever preferred stock issued market value likely change opposite direction inflation
1295,many share common stock jones corporation outstanding,jones corporation hasshares common stock outstanding
1296,meaning term preferred stockholder,owner share preferred stock known preferred stockholder
1297,corporation pay dividend happens cash credited,corporation pay dividend dividend payable debited cash credited
1298,stock dividend,basically corporation changed simply increased everyones number share stock proportionately
1299,cash dividend,corporation hasshares common stock outstanding declares pay cash dividend ofper share corporation distributeof cash common stockholder
1300,many year corporation omitted dividend,assume corporation cumulative preferred stock annual dividend ofand omitted dividend past three year
1301,difference common stock,corporation common stock par value corporation receives par value issuing new share stock difference sometimes referred premium common stock
1302,difference par value corporation common stock difference,assume corporation common stock par value 0
1303,many share ofcumulative preferred stock corporation,assume corporation hasshares of100 cumulative preferred stock
1304,term deficit corporation balance sheet,term deficit used within stockholder equity section corporation balance sheet place retained earnings balance corporation retained earnings account debit balance
1305,many year corporation positive net income,assume corporation formed three year ago
1306,corporation reduce balance two balance sheet account,assume corporation declares pay cash dividend ofon itsshares common stock outstanding
1307,difference actual amount repair expense planned amount,example company budget repair expense isand actual amount end beingorthere variance oforrespectively
1308,meaning favorable variance,favorable variance indicates variance difference budgeted actual amount good favorable company profit
1309,reason company actual profit better budgeted,one reason company actual profit better budgeted profit
1310,difference actual revenue budgeted profit,also factor company actual profit better budgeted profit
1311,stock split mean,investor owningshares stock split 2for1 haveshares split
1312,difference two share common stock,since corporation changed stock split change number share cause change market price share
1313,purpose reverse stock split,reverse stock split 1for10 intended increase market price share stock
1314,dividend,typically corporation board director declare dividend omitting
1315,many share ofcumulative preferred stock corporation declare pay,assume corporation issued outstandingshares ofcumulative preferred stock par value 100
1316,net present value discounted amount,net amount discounted amount net present value
1317,much cash company expected receive end year,future cash amount discounted byper year compounded annually result present value approximately 522000
1318,result discounting one future amount present,present value pv result discounting one future amount present
1319,much present value 10000,cash amount ofreceived end ofyears present value ofwhen theis discounted atcompounded annually
1320,negative npv mean,example cash flow discounted bya slightly negative npv could mean investment earning 11
1321,result combining present value cash inflowand,result combining present value cash inflow 5000
1322,implicit interest rate,implicit interest rate one stated explicitly
1323,present value annuity,find interest rate implicit arrangement need carry whats known present value calculation
1324,term hurdle rate capital budgeting,capital budgeting term hurdle rate minimum rate company want earn investing project
1325,minimum hurdle rate company,however hurdle rate usually larger cost capital company many investment opportunity project higher level risk
1326,nondiscount method capital budgeting,nondiscount method capital budgeting one consider time value money
1327,long take investment return cash,payback method simply computes number year take investment return cash equal amount invested
1328,best way calculate rate return project,use present value table calculate internal rate return require trial error find exact rate project earning
1329,difference npv irr,npv calculates present value amount based statedspecified interest rate
1330,internal rate return capital budgeting,capital budgeting internal rate return result investment net present value zero
1331,much cash must company pay beginning year five year,amount cash company must pay beginning investment 3600
1332,difference present value cash inflow present value,net present value combination ofthe present value cash inflow andthe present value cash outflow
1333,present value thecash inflow occurring end 7,present value thecash inflow occurring end ofyears is30000 x 2
1334,calculate breakeven point sale dollar,breakeven point sale dollar calculated dividing company total fixed expense company contribution margin ratio
1335,difference contribution margin ratio gross profit percentage,note contribution margin ratio gross margin ratio gross profit percentage
1336,breakeven point sale dollar,illustrate breakeven point sale dollar let assume company fixed expense ofper year
1337,definition breakeven point,breakeven point volume sale unit dollar equal company total expense
1338,average contribution margin ratio,result average contribution margin ofper unit average contribution margin ratio 60
1339,cost behavior,cost behavior indicator cost change total change activity
1340,cost operating oven,component variable cost since increase oven must operate longer time order produce additional loaf bread
1341,term margin safety,breakeven analysis term margin safety indicates amount sale breakeven point
1342,many unit product company currently sell,let assume company currently sellsunits product
1343,mixed cost,mixed cost partially fixed cost partially variable cost
1344,difference mixed cost variable cost,example mixed cost electricity used manufacturing facility
1345,indirect cost production department,building containing production department indirect cost production department since must allocated production department
1346,difference fixed variable product cost,equipment maintenance expense temporary shipping clerk could variable indirect product cost since cost vary production volume
1347,highlow method,highlow method simple technique determining variable cost rate amount fixed cost part whats referred mixed cost semivariable cost
1348,cost electricity small manufacturing facility,assume cost electricity small manufacturing facility mixed cost since company one electricity meter air quality cooling lighting production equipment
1349,fixed expense,fixed expense expense whose total amount change increase activity sale production
1350,definition fixed expense,nonetheless present rent ofis considered fixed expense since extreme condition outside relevant range shortterm analysis
1351,fixed expense,fixed expense expense whose total amount change increase activity sale production
1352,definition sale mix,sale mix relative proportion ratio business product sold
1353,difference loss profit,however company loss depends actual sale mix
1354,difference total cost one additional unit product cost producing,word marginal cost change total cost one additional unit produced
1355,reason marginal cost producing unitisinstead,reason marginal cost wasinstead previous average cost cost increase additional unit produced
1356,definition elastic demand,instance manufacturer production sale declined fails cut fixed cost manufacturer could worse increasing selling price
1357,price elasticity demand,elastic demand also referred price elasticity demand
1358,definition correlation coefficient,coefficient correlation positive amount 0
1359,coefficient determination,coefficient correlation squared becomes coefficient determination
1360,fixed cost per unit,hand fixed cost per unit change volume level activity change
1361,much fixed cost per unit change volume company,total fixed cost ofper month change volume within range ofunits tounits per month
1362,difference variable cost volume product,therefore total amount variable cost change proportionately change volume activity
1363,cost product direct material,generally product direct material variable cost
1364,difference total fixed expense period contribution margin per unit,breakeven point unit product calculated dividing company total fixed expense accounting period contribution margin per unit
1365,definition fixed cost,since fixed cost remains constant total fixed cost per unit activity decrease volume increase fixed cost per unit activity increase volume decrease
1366,many machine hour good output rent production facility,assume rent production facility fixed cost ofper year normallymachine hour good output year
1367,difference positive contribution margin ratio negative sale contribution margin ratio,negative contribution margin ratio indicates company variable cost expense exceed sale
1368,variable expense increase activity decrease,word variable expense increase activity increase decrease activity decrease
1369,cost good sold,another example variable expense retailer cost good sold
1370,average time complete manual task,common learning curve show cumulative average time complete manual task decreasewhenever cumulative volume double
1371,many hour complete website,illustrate thelearning curve let use example person learning design code website similar size complexity
1372,simple linear regression analysis,based entering reasonable number observation independent dependent variable regression software compute best fitting straight line express average relationship dependent independent variable
1373,best fitting line,software determines best fitting line based amount entered
1374,definition semivariable cost,equation semivariable cost total cost fixed cost variable cost rate x activity
1375,typical example semivariable cost,common example semivariable cost annual cost operating vehicle
1376,difference cost two alternative,use term marginal cost referring cost producing next unit operating one hour etc
1377,much cost operating equipment atmachine hour,assume company determined annual cost operating equipment atmachine hour waswhile annual cost operating equipment atmachine hour 3800000
1378,formula determining breakeven point unit product sold,formula determining breakeven point unit product sold total fixed expense divided contribution margin per unit
1379,breakeven point service business,example business total fixed expense offor year contribution margin ofper billable hour breakeven point year ishours billed atper hour
1380,breakeven point dollar product service,formula determining breakeven point dollar product service total fixed expense divided contribution margin ratio
1381,breakeven formula company,breakeven formula overly simplistic computing company breakeven point company wide variety product varying contribution margin contribution margin ratio
1382,aftertax cost debt,aftertax cost debt interest paid debt minus income tax saving result deducting interest expense company income tax return
1383,common question,let assume regular u
1384,cost center,cost center subunit company responsible cost
1385,profit center,division company responsibility revenue cost resulting profit profit center
1386,variance accounting,accounting variance difference actual amount budgeted planned past amount
1387,many unit product company use,assume company manufacturedunits product
1388,incremental cost,incremental cost difference total cost result change activity
1389,flexible budget,flexible budget sale commission expense budget would stated percentage sale
1390,budget sale commission expense,assume company annual budget static budget
1391,cost make difference making decision,relevant cost future cost differ two alternative action
1392,expense company change e eliminated,however company expense reduced
1393,difference missed profit missed contribution margin,opportunity cost profit company missed contribution margin missed
1394,difference variable cost expense associated missed revenue missed opportunity,hold true variable cost expense associated missed revenue missed opportunity
1395,many hour setup would company lose machine running,thesehours company losing opportunity generate profit machine running
1396,favorable budget variance,favorable budget variance mean actual amount occurred better company amount budgeted
1397,definition decentralization,decentralization refers company top management delegating authority subunit segment company company consisting consumer product division industrial division corporation organized several subsidiary company
1398,definition cost center,production administrative department within company generally cost center
1399,transfer pricing concern,concern transfer pricing whether transfer price cause subunit manager take action best company whole
1400,transfer price component sub1 manufacture,transfer price amount sub2 pay subfor component need
1401,definition term death spiral,cost accounting managerial accounting term death spiral refers repeated elimination manufacturer product result spreading fixed manufacturing overhead cost fewer product
1402,best way avoid death spiral,avoid death spiral company attempt allocate overhead cost based activity product complexity rather simply spreading production machine hour
1403,zerobased budgeting,zerobased budgeting zbb rigorous budgeting process requires every dollar every expense budget justified even expense occurring level year
1404,first time zerobased budgeting discussed,zerobased budgeting widely discussed 1970s business government
1405,high degree correlation guarantee change one variable caused,measuring correlation variable helpful high degree correlation guarantee change one variable actually caused variable
1406,determine relationship production machine hour mixed cost,example simple linear regression analysis software used determine relationship production machine hour mixed cost
1407,relevant cost benefit making decision,result relevant cost benefit making decision current future cost
1408,much money spent oneyearold robot,decision whether purchase robot thespent oneyearold machine sunk cost
1409,capital budgeting,capital budgeting process used company evaluating ranking potential capital expenditure investment significant amount
1410,long capital expenditure last,capital expenditure involve large amount money spent asset useful life one year
1411,four common technique used deciding nonnecess,deciding nonnecessary project undertaken company likely use various technique ranking project financial point view
1412,definition manufacturing overhead,hence manufacturing overhead referred indirect cost
1413,flexible budget,flexible budget sophisticated useful static budget
1414,much flexible budget month,based information flexible budget month would beper mh
1415,process costing system,processing cost system used nearly identical unit mass produced
1416,first question,let assume company manufacture large quantity identical product
1417,job costing system,generally job costing used job sufficiently different job cost significant
1418,cost manufacturing directly traceable product,cost outside manufacturing operation marketing general management expense accounting period applied assigned product
1419,overhead rate calculated,usually done using predetermined annual overhead rate
1420,difference actual overhead cost amount overhead applied manufactured good,since future overhead cost future number machine hour known certainty since actual machine hour occur uniformly throughout year always difference actual overhead cost incurred amount overhead applied manufactured good
1421,cost allocation needed,cost allocation needed cost directly traceable specific object
1422,indirect cost,cost must allocated product department cost object indirect cost
1423,cost artisan furniture,assume company produce artisan furniture
1424,common responsibility center,common responsibility center numerous department within company
1425,traditional method cost accounting,traditional method cost accounting refers allocation manufacturing overhead cost product manufactured
1426,traditional method determining true cost diverse good produced sold,however traditional method inadequate determining true cost diverse good produced sold customer diverse demand
1427,definition indirect manufacturing cost,traditional cost accounting indirect manufacturing cost allocated product manufactured based direct labor hour direct labor cost production machine hour
1428,would happen company volume increase dramatically,similarly company volume increase dramatically company would likely increase total amount fixed cost
1429,much would company increase pay supervisor space fixed,company volume increase tounits product andormachine hour company would likely increase total fixed cost pay additional supervisor space fixed cost
1430,plantwide overhead rate,plantwide overhead rate often single rate per hour percentage cost used allocate assign company manufacturing overhead cost good produced
1431,much machine time company need produce product,product requiresminutes machine time product cost includeof manufacturing overhead
1432,budget,business organization budget often refers department company projected revenue cost expense
1433,meaning standard accounting,accounting standard likely mean expected amount per unit product per unit input per unit output
1434,many unit product expected processed finishing department,assume finishing department budget upcoming year isand expected processidentical unit product
1435,setup cost activity based costing,hence setup cost regarded batchlevel cost activity based costing
1436,much manufacturing overhead cost,assume manufacturer experience additionalin manufacturing overhead cost month june july august
1437,definition fixed manufacturing overhead,common fixed manufacturing overhead cost absorbed good produced predetermined overhead rate based number machine hour
1438,cost fixed manufacturing overhead,actual production volume le planned volume fixed manufacturing overhead underabsorbed
1439,traditional method allocating factory overhead,traditional method allocating factory overhead mean spreading manufacturing overhead cost good produced basis number production machine hour used number direct labor hour used
1440,factor driving factory overhead cost,reality many factor driving factory overhead cost
1441,indirect manufacturing cost service department,cost incurred service department considered indirect manufacturing cost ultimately must get allocated good produced
1442,purpose departmental overhead rate,departmental overhead rate used many manufacturer allocate manufacturing overhead good produce instead using single plantwide overhead rate
1443,definition manufacturing overhead cost,assigning fixed variable manufacturing overhead cost part cost accounting method known absorption costing required u
1444,much overhead manufacturer pay production machine,machine ranhours produce good unit product underabsorbed fixed overhead 15000
1445,indirect cost,rather indirect cost sometimes referred common cost allocated cost object logical manner
1446,difference departmental plantwide overhead rate,manufacturer producing variety product require different process multiple overhead rate known departmental overhead rate instead one plantwide overhead rate
1447,much predetermined manufacturing overhead rate new year,therefore jkls predetermined manufacturing overhead rate new year per production machine hour
1448,difference actual cost repair budgeted amount,example company actual repair expense offor may budgeted amount wasthe company cost variance 150
1449,cost variance manufacturing cost product,system cost variance direct attention difference betweenthe standard predetermined expected cost good output andthe actual manufacturing cost incurred
1450,difference cost per pound raw material company purchased,standard costing purchase price variance difference actual cost per pound raw material company purchased company standard cost per pound raw material purchased
1451,assigned raw material inventory,price variance occurred throughout year variance assigned raw material inventory workinprocess inventory finished good inventory cost good sold based quantity raw material category end year
1452,flexible budget variance,flexible budget variance difference betweenan actual amount andthe amount allowed flexible budget
1453,many item shipped,therefore flexible budget variable expense flex shipping additionalitems
1454,shipping department total flexible budget variance,let assume shipping department actual expense year fixed expense variable expense total actual expense 508000
1455,could cause flexible budget flex,activity could cause flexible budget flex might amount sale unit output machine hour mile traveled etc
1456,difference production volume,production volume variance associated standard costing system used manufacturer
1457,much fixed manufacturing overhead would manufacturer allocated,example stated manufacturer actually producedstandard machine hour good output product would assignedof fixed manufacturing overhead cost compared budgeted amount 300000
