,enquiries
2259,What is the role of the segment manager for some operating segments?
2260,What is the definition of a matrix form of organisation?
2261,What does paragraph 14-19 specify?
2262,What are the characteristics of the operating segments?
2263,What is the definition of an entity's financial statements?
2264,What is the purpose of the paragraph?
2265,what percentage of the revenue of the entity is reported by operating segments?
2266,What information about other business activities and operating segments that are not reportable shall be combined and disclosed?
2267,What is the purpose of the paragraph?
2268,what is the definition of a reportable segment?
2269,What is the practical limit to the number of reportable segments an entity discloses beyond which segment?
2270,What is the purpose of the statement?
2271,What is the purpose of paragraph 20?
2272,what is the purpose of the paragraph?
2273,What is the definition of a disclosure in IFRS 12.B13?
2274,What is the purpose of the paragraphs for the difference from SFAS 131?
2275,What is the amount of each segment item reported?
2276,What is the purpose of paragraph 7?
2277,What are the differences between the measurements of reportable segments and the entity's liabilities?
2278,What is the definition of IFRS 8.33?
2279,What is the purpose of the paragraph?
2280,what is the purpose of the paragraph?
2281,What information is required by paragraphs 32â€“34?
2282,What is the definition of IFRS 15.B89?
2283,What is the basis for attributing revenues from external customers to an individual foreign country?
2284,What is the purpose of the IFRS?
2285,What is the purpose of the IFRS?
2286,What is the purpose of paragraph 23?
2287,what is the cost to develop it?
2288,What is the definition of the amendments?
2289,What is the purpose of the amendments?
2290,What is the IFRS definition of the IFRS?
2291,What is the objective of this Standard?
2292,What is the basis for conclusion?
2293,What are the requirements of the Standard for a lease?
2294,what is the impairment requirement of this Standard?
2295,What is the definition of a loan commitment?
2296,what is the purpose of this Standard?
2297,what is the scope of this Standard?
2298,What are the different ways a contract can be settled?
2299,What is the purpose of the contract?
2300,what is the 'regular way' of a purchase or sale of financial assets?
2301,What was the IFRICâ€™s decision to add a limited scope project on dere?
2302,What is the meaning of the passage?
2303,What is the difference between a part of a financial asset and a group of similar?
2304,what is the definition of a financial asset?
2305,what is the definition of a financial asset?
2306,What is the definition of a transfer of a financial asset?
2307,what is the definition of a financial asset?
2308,What is the difference between the risk and reward of ownership of a financial asset?
2309,What is the need to perform a computation?
2310,What is the difference between a transferee and a third party?
2311,What is the definition of a servicing asset?
2312,what is the definition of a transfer?
2313,What is the difference between the carrying amount and the consideration received?
2314,What is the difference between the carrying amount of the part that is derecognised and?
2315,What is the best estimate of the fair value of a part that continues to be recognised?
2316,What does the entity do if the transfer does not result in derecognition?
2317,What is the extent of the entityâ€™s continuing involvement in the transferred asset?
2318,What is the difference between the transfer of an asset and the associated liability?
2319,What is the purpose of the paragraph?
2320,What is the difference between the carrying amount allocated to the part that is no longer recognised and the?
2321,What does the entity offset with any expense incurred on the associated liability?
2322,what is the accounting for the collateral by the transferor and the transferee?
2323,What is the purpose of the paragraph?
2324,What is the difference between the carrying amount of a financial liability (or part of a?
2325,What is the difference between the carrying amount allocated to the part derecognised and the?
2326,What is the definition of a financial liability?
2327,What is the basis for conclusions?
2328,What is the definition of financial assets?
2329,What is the purpose of the definition of amortised cost?
2330,What are the conditions that apply to a financial asset?
2331,What is the meaning of interest in paragraphs 4 and 4?
2332,What is the definition of a financial asset?
2333,What is the 'refer:basis for conclusions'?
2334,what is the meaning of the paragraphs?
2335,What is the definition of contingent consideration?
2336,What is the basis for conclusion?
2337,What is the definition of a financial liability?
2338,What is the main point of the paragraphs?
2339,What is an embedded derivative?
2340,what is the scope of this Standard?
2341,What is the purpose of the Interpretations Committeeâ€™s discussion of the IAS 32 Financial Instrument?
2342,what is the definition of a derivative?
2343,What is the purpose of this Standard?
2344,What is the purpose of the Improvements to IFRSs?
2345,what is the difference between a hybrid contract and a non-hybrid contract?
2346,what is the difference between the fair value of the hybrid contract and the fair value of the host?
2347,What is the definition of reclassification?
2348,What is the definition of a financial liability?
2349,what is a hedging instrument?
2350,what is the definition of a financial asset or financial liability?
2351,what is the fair value of the financial asset or financial liability at initial recognition?
2352,what is the requirement in paragraph 5.1.1?
2353,what is the definition of a financial asset?
2354,what is the definition of impairment?
2355,what is the definition of a hedged item?
2356,what is the hedge accounting requirement for a portfolio hedge of interest rate risk?
2357,what is the 'refer:basis for conclusions paragraphs'?
2358,What is the effective interest rate for a financial asset?
2359,What is the basis for conclusion of the Standard?
2360,What is a write-off?
2361,what is the basis for determining the contractual cash flows of a financial asset or financial liability?
2362,what is the basis for determining the contractual cash flows of a financial asset or financial liability?
2363,what is the basis for determining the contractual cash flows of a financial asset or financial liability?
2364,what is the basis for determining the contractual cash flows of a financial asset or financial liability?
2365,What is the general rule for the entity?
2366,What is the definition of a loss allowance?
2367,What is the definition of impairment requirements for financial assets?
2368,what is the amount of loss allowance for a financial instrument?
2369,What is the objective of the impairment requirements?
2370,what is the amount of loss allowance for a financial instrument?
2371,what is the date of initial recognition for the purposes of applying the impairment requirements?
2372,what is the loss allowance for a financial instrument?
2373,what is required to adjust the loss allowance at the reporting date to the amount that is required to?
2374,what is the bc5.154?
2375,What is the purpose of the assessment?
2376,what is the credit risk on a financial instrument?
2377,What is the rebuttable presumption of a credit risk increase?
2378,what is the basis for conclusion?
2379,what is the effect of a change in the credit risk of the financial instrument?
2380,what is the basis for conclusion?
2381,what is the definition of a loss allowance?
2382,What is the definition of impairment gain?
2383,what is the accounting policy for trade receivables?
2384,What is the accounting policy of an entity?
2385,What is the basis for conclusions?
2386,What is the purpose of the paragraphs?
2387,What is the definition of a credit loss?
2388,what is the maximum period to consider when measuring expected credit losses?
2389,What does the entityâ€™s exposure to credit losses include?
2390,What is the meaning of the passage?
2391,What does the entity have to do to reclassify financial assets?
2392,What is the difference between the amortised cost of the financial asset and the fair value?
2393,What is the difference between a financial asset and an amortised cost measurement?
2394,What is the difference between the amortised cost of the financial asset and the fair value?
2395,What is the difference between the reclassification of financial assets and the amortised?
2396,What is the definition of a loss allowance?
2397,what is the definition of a financial asset?
2398,What is the purpose of the paragraphs?
2399,What is the definition of a financial asset?
2400,What is the definition of a gain or loss on a financial liability that is measured at?
2401,what is the fair value hedge accounting for a portfolio hedge of interest rate risk?
2402,What is the difference between the fair value of the asset to be received and the settlement date?
2403,What is the basis for conclusion?
2404,What is the purpose of the paragraph?
2405,What is the main point of the paragraphs?
2406,what is the difference between the fair value of the financial liability and the amount of change in the?
2407,what is the purpose of paragraph 5.7.7?
2408,what is the definition of a profit or loss?
2409,"What is the definition of the paragraphs 41.2A, 5.7.1(d) and B?"
2410,What is the definition of a gain or loss on a financial asset?
2411,what would have been recognised in profit or loss if the financial asset had been measured at am?
2412,What is the IFRS's accounting policy?
2413,What is the objective of hedge accounting?
2414,What is the hedging relationship between a hedging instrument and a hedged?
2415,What is the requirement for a hedge accounting for a portfolio hedge of interest rate risk?
2416,What is the basis for conclusion?
2417,What is the basis for conclusion for a derivative?
2418,What is the basis for conclusion paragraphs BC6.124BC6.139?
2419,what is the difference between hedge accounting and hedge accounting?
2420,What is the definition of a hedging instrument?
2421,What is the meaning of the word hedging instrument?
2422,What is the purpose of the paragraphs?
2423,What can be a hedged item?
2424,What is the hedged item?
2425,What is the definition of a hedged item?
2426,What is a hedged item?
2427,What can be considered hedged items?
2428,What is the definition of a hedged item in a consolidated financial statement?
2429,What is the basis for conclusion?
2430,What is the definition of a hedged item?
2431,what is the hedge effectiveness requirement?
2432,what does hedging accounting mean?
2433,What is a cash flow hedge?
2434,What is the hedged exposure referred to in paragraph 6.5.2(a)?
2435,What is the basis for conclusion?
2436,what is the hedge ratio of the hedging relationship?
2437,What is the definition of a hedging instrument?
2438,what is a fair value hedge?
2439,What is the basis for conclusion?
2440,What is the difference between a hedged item and an unrecognised firm commitment?
2441,what is the difference between a hedged item and a liability?
2442,What is the basis for conclusion?
2443,what is the amount of the hedged asset or liability that is a firm commitment?
2444,what is the meaning of the paragraph?
2445,what is the difference between a hedge and cash flow hedge?
2446,What is the definition of a reclassification adjustment?
2447,what is the difference between a hedged item and a non-hedging instrument?
2448,what is the difference between the forward element and the spot element of a forward contract?
2449,What is the basis for conclusion?
2450,What is the basis for conclusion?
2451,what is a hedge of foreign currency risk?
2452,What is the basis for conclusion?
2453,what is an eligible hedged item?
2454,what is the purpose of a hedge?
2455,What is the difference between the hedged items?
2456,What is the meaning of the statement of financial position?
2457,what is the difference between hedged and non hedged net positions?
2458,What is the definition of a credit derivative?
2459,What is the difference between the carrying amount and the fair value of the financial instrument?
2460,What is the definition of a financial instrument that gives rise to the credit risk?
2461,what is the effect of the change in the carrying amount of the financial instrument?
2462,What is the effect of interest rate benchmark reform on hedging relationships?
2463,what is the term â€˜interest rate benchmark reformâ€™?
2464,What is the definition of a hedge accounting requirement?
2465,what is the effect of interest rate benchmark reform?
2466,What is the purpose of the requirement in paragraph 6.5.12?
2467,what is the effect of interest rate benchmark reform?
2468,What is the requirement in paragraphs 6 and 8.8?
2469,What does the requirement in paragraph 6 apply to when an entity discontinues and restarts?
2470,what is the effect of the hedging relationship?
2471,what is the effect of interest rate benchmark reform on the individual item or financial instrument?
2472,what is the definition of a hedged risk?
2473,what is the basis for determining the contractual cash flows of the original hedging instrument?
2474,What is the purpose of paragraph 6.8.4?
2475,What is the definition of a hedging relationship?
2476,What does the standard require an entity to do to change the designation of the hedge relationship?
2477,What is the definition of hedge accounting?
2478,what is the alternative benchmark rate on which the hedged future cash flows are determined?
2479,What is the meaning of the paragraph 6.9.1?
2480,What is the purpose of the paragraph?
2481,what is the alternative benchmark rate?
2482,What is the definition of a non-contractually specified risk component?
2483,What is the purpose of the Standard?
2484,What is the purpose of the paragraphs 10â€“11 of IFRS 7 Financial Instruments?
2485,What is the definition of Appendix A?
2486,What is the meaning of the amendments to IFRS 17?
2487,What is the purpose of the amendments?
2488,What is the purpose of the amendments?
2489,What is the purpose of the amendment?
2490,What is the purpose of the amendments?
2491,What is the purpose of this Standard?
2492,What is the transition date for IFRS 9?
2493,What is the basis for conclusion in paragraph BC7.18?
2494,What is the definition of impractical?
2495,what is the purpose of the paragraph?
2496,what is the fair value of the hybrid contract?
2497,What is the common practice of IFRS 9?
2498,What is the purpose of the designation?
2499,what is the classification of a financial asset?
2500,what is the definition of a financial liability?
2501,what is the effect of the effective interest method on an entity?
2502,What is the IFRS 9 common practice?
2503,What is the difference between the previous carrying amount and the fair value of the derivative liability?
2504,what would create or enlarge an accounting mismatch in profit or loss?
2505,What is the effect of the change in net assets resulting from such designations?
2506,What is the difference between the prior periods?
2507,what is the purpose of the interim financial reporting?
2508,What is the definition of impairment requirements?
2509,what is the credit risk at the date that a financial instrument was initially recognised?
2510,what is the rebuttable presumption in paragraph 5.5.11?
2511,what is the effect of the loss allowance on the credit risk of an entity?
2512,What is the accounting policy of an entity that applies the hedge accounting requirements of IAS 39?
2513,what is the hedge accounting requirement of this Standard?
2514,What is the definition of continuing hedging relationships?
2515,What is the definition of a rebalancing?
2516,What is the retrospective application of the accounting for the time value of options?
2517,What is the definition of IFRS 9?
2518,what is the definition of a financial liability?
2519,What is the definition of An entity shall apply Prepayment Features with Negative Compensation (?
2520,What is the purpose of paragraphs 7 and 7.2?
2521,What is the purpose of paragraph 7?
2522,what is the definition of a financial asset?
2523,What is the common practice of IFRS 9?
2524,what is the carrying amount of financial assets affected by amendments to IFRS 9 for pre?
2525,What is the purpose of the Annual Improvements to IFRS Standards 2018â€“2020?
2526,What is the definition of IFRS 9?
2527,What is the definition of IFRS 17?
2528,What is the definition of IFRS 17?
2529,what is the definition of a financial liability?
2530,What is the common practice of IFRS 9?
2531,What is the definition of quantitative information required by paragraph 28(f) of I?
2532,what is the carrying amount of financial assets affected by amendments to IFRS 9 made by?
2533,what is the purpose of the interest rate benchmark reform?
2534,what is the definition of a discontinued hedge accounting relationship?
2535,what is the date of the alternative benchmark rate designation?
2536,What is the common practice of IFRS 9?
2537,What is the purpose of the amendment?
2538,what is the IFRS 9?
2539,What is the purpose of this IFRS?
2540,what is the objective of this IFRS?
2541,what is the IFRS for a parent?
2542,what is the purpose of the IFRS?
2543,what is the purpose of the paragraph?
2544,What is the role of an investor in a decision?
2545,What does the investor have to do to control an investor?
2546,what is the purpose of the paragraph?
2547,What IFRSs would each investor account for its interest in the investee?
2548,What is the difference between an investor and an investor?
2549,What is the difference between assessing power and assessing power?
2550,What is the difference between a power and power argument?
2551,What is the difference between the two or more investors?
2552,What does the author mean by An investor can have power over an investee even?
2553,What is the difference between a positive and negative return?
2554,What is the effect of an investorâ€™s power over the investee?
2555,What does the definition of an agent mean?
2556,What is the purpose of the paragraph?
2557,what is the purpose of the paragraphs?
2558,What is the purpose of the paragraph?
2559,What are the differences between the two types of transactions?
2560,What is the purpose of the paragraphs B94â€“B96?
2561,What is the remeasured value of a financial asset at the date that control is?
2562,What is the accounting for the loss of control of a subsidiary?
2563,What is the definition of an investment entity?
2564,What does the IFRS 12 basis for conclusions require of an investment entity?
2565,what is the definition of an investment entity?
2566,what is the purpose of the paragraph?
2567,What does an investment entity do when it obtains control of another entity?
2568,What is the purpose of the consolidation of a subsidiary?
2569,What is the purpose of the paragraphs?
2570,What is the objective of this IFRS?
2571,What is the purpose of the IFRS?
2572,What is the definition of IFRS?
2573,what is a joint arrangement?
2574,What is a joint arrangement?
2575,what is a joint arrangement?
2576,What is the definition of joint control?
2577,What is the purpose of the paragraph?
2578,What is the difference between a group of parties and a group of parties?
2579,What is the meaning of a joint arrangement?
2580,What is the difference between a joint arrangement and a joint venture?
2581,What is the purpose of the paragraph?
2582,what is the reassessment of the entity's control of the arrangement?
2583,What is the definition of a joint arrangement?
2584,What is a joint operation?
2585,What is a joint venture?
2586,What is the purpose of the paragraph?
2587,What is the difference between joint arrangements and a framework agreement?
2588,What type of joint arrangement is involved in an entity?
2589,what shall a joint operator recognise in relation to its interest in a joint operation?
2590,what is the IFRS for the joint operator?
2591,What is the accounting for the acquisition of an interest in a joint operation?
2592,What is the IFRS for a party that does not have rights to the assets?
2593,what is the definition of a joint venture?
2594,what is the purpose of the paragraph?
2595,what is the purpose of the paragraph?
2596,what is the purpose of the paragraph?
2597,what does the IFRS require an entity to disclose?
2598,what is the purpose of the paragraph?
2599,What is the purpose of the disclosures required by this IFRS?
2600,What is the purpose of the IFRS?
2601,what is the IFRS for a company?
2602,What is the IFRS 5 Non-current Assets Held for Sale and Discontinue?
2603,what does IFRS 10 apply to?
2604,what is the purpose of the disclosure?
2605,What is the meaning of paragraph 7?
2606,what is the reason why presumption investor has significant influence?
2607,what is the purpose of the paragraph?
2608,What is the purpose of the disclosure?
2609,What is the purpose of the paragraphs?
2610,what is the reason for using a different date or period for subsidiary disclosure?
2611,What is the proportion of voting rights held by noncontrolling interests?
2612,what restrictions can restrict an entity's ability to access or use assets and settle liabilities of the?
2613,what could require the parent or its subsidiaries to provide financial support to a consolidated structured entity?
2614,What is the purpose of the disclosure?
2615,what is the purpose of the paragraph?
2616,what is the intention of an entity to provide financial or other support to a consolidated structured?
2617,What is the purpose of the paragraph?
2618,What is the definition of the term loss?
2619,what is the definition of a consolidation exception?
2620,what is the proportion of ownership interest in the subsidiary?
2621,what is the nature of the restrictions on transfer of funds to an unconsolidated subsidiary?
2622,What is the purpose of the disclosure?
2623,what is the definition of a consolidated entity?
2624,what is the purpose of the disclosure?
2625,What is the purpose of the paragraphs 1 and 2?
2626,what is the nature of the relationship between the entity and the joint arrangement or associate?
2627,what is the reason why the entity uses different reporting dates or periods for joint ventures?
2628,what is the amount of the commitments that an entity has relating to its joint?
2629,What does the entity disclose to the public?
2630,what is the information required by paragraph 24(b)?
2631,What is the purpose of paragraph 24?
2632,what is the purpose of the disclosure?
2633,what is the purpose of the disclosure?
2634,What is the purpose of paragraph 27(b) and (c)?
2635,what is the maximum exposure to loss from interests in structured entities?
2636,what type of support did the entity provide to the unconsolidated structured entity?
2637,what is the purpose of the disclosure?
2638,What is the purpose of the Standard?
2639,What is the objective of a fair value measurement?
2640,What is the difference between a fair value and a marketbased measurement?
2641,What is the definition of fair value?
2642,what is the IFRS for fair value measurements?
2643,What does the IFRS 2 paragraph 2 say about the measurement and disclosure requirements?
2644,what is the IFRS required for?
2645,What is the fair value measurement framework?
2646,what is fair value?
2647,what is the fair value measurement approach?
2648,What are the characteristics of an asset or liability?
2649,what is the effect of a particular characteristic on the measurement?
2650,what is the definition of a fair value?
2651,What is the unit of account for the asset or liability?
2652,What is the definition of a fair value measurement?
2653,What is the most advantageous market in the absence of a principal market?
2654,what is the fair value of the asset or liability?
2655,What is the principal market for the same asset or liability?
2656,What is the basis for estimating the price to sell the asset or to transfer the liability?
2657,what is the fair value of an asset?
2658,What is the purpose of the paragraph?
2659,what is the value of an asset?
2660,What is the difference between a transaction cost and a characteristic of an asset?
2661,what is a characteristic of the asset?
2662,what is a fair value measurement of a nonfinancial asset?
2663,What is the definition of a use that is legally permissible?
2664,What is the best use of a nonfinancial asset?
2665,What is the purpose of the paragraph?
2666,What is the best use of a nonfinancial asset?
2667,What is the case even when a fair value measurement assumes that the highest and best use?
2668,what is the valuation premise concept for nonfinancial assets?
2669,What is the definition of a fair value measurement?
2670,what is the basis for conclusion?
2671,What is the objective of a fair value measurement?
2672,what is the fair value of the liability or equity instrument?
2673,what is the best way to measure the fair value of a liability or equity instrument?
2674,What is the objective of the paragraph?
2675,what is the basis for conclusion?
2676,what would be the amount that a market participant would receive to enter into or issue an identical?
2677,What does the definition of nonperformance risk mean?
2678,what is the effect of credit risk on the liability?
2679,What is the difference between the credit enhancement and the liability?
2680,What is the effect of a restriction that prevents the transfer of a liability or an?
2681,What is the difference between a separate input and an adjustment to an existing input?
2682,what is the fair value of a financial liability with a demand feature?
2683,what is the definition of fair value?
2684,what is the exception for a company?
2685,What does the exception in paragraph 48 pertain to?
2686,What is the definition of the exception?
2687,what is the definition of a financial asset?
2688,what is the exception in paragraph 48 to measure the fair value of a group of financial assets?
2689,What does the exception mean?
2690,what is the duration of the entityâ€™s exposure to a particular market risk?
2691,what is the effect of the exception in paragraph 48?
2692,what is the value of the transaction?
2693,What is the definition of fair value?
2694,what is the IFRS for a liability?
2695,What is the purpose of the paragraphs 67 and 74?
2696,What is the main aspect of the valuation technique?
2697,What is the definition of a fair value measurement?
2698,What is the purpose of the paragraph?
2699,"What happens if, for example, any of the following events take place?"
2700,What is the definition of a change in accounting estimate?
2701,What is the purpose of the paragraphs 61 and 62?
2702,What types of markets might be observable for some assets and liabilities (eg financial instruments?
2703,What is the definition of a fair value measurement?
2704,What is the difference between a bid price and an ask price?
2705,What is the purpose of this IFRS?
2706,What is the purpose of the Fair Value hierarchy?
2707,What is the definition of fair value?
2708,What is the level of fair value hierarchy?
2709,What is the definition of fair value?
2710,what is level 1 inputs?
2711,what is the best way to measure fair value?
2712,What is the emphasis within Level 1 on?
2713,What does the fair value measurement mean?
2714,what is the fair value of a position in a single asset or liability?
2715,What is the definition of Level 2 inputs?
2716,What are the inputs that are observable for the asset or liability?
2717,What are the factors that affect the level 2 inputs?
2718,what is the fair value of a measurement?
2719,what is the use of Level 2 inputs for particular assets and liabilities?
2720,what is level 3 inputs for the asset or liability?
2721,What is the fair value objective?
2722,What is the definition of a fair value measurement?
2723,What is the objective of a fair value measurement?
2724,what is the use of Level 3 inputs for particular assets and liabilities?
2725,What is the effect of the measurements on profit or loss or other comprehensive income for the period?
2726,What is the definition of a class of liabilities?
2727,what is the difference in fair value measurement due to change in multiple unobservable inputs to?
2728,What is the definition of a class of assets and liabilities?
2729,what is the definition of IFRS 13?
2730,what is the accounting policy decision to use exception in IFRS 13.48?
2731,What is the definition of a fair value?
2732,what is the definition of a third party credit enhancement?
2733,What format is more appropriate?
2734,What is the objective of this Standard?
2735,What is the purpose of the Standard?
2736,What is the purpose of the Standard?
2737,What is the difference between the requirements of other Standards and the requirements of regulatory deferral accounts?
2738,What is the definition of a regulatory deferral account balance?
2739,what is the definition of a standard?
2740,What is the definition of a rate-regulated entity?
2741,what is the scope of this Standard?
2742,What is the purpose of the Standard?
2743,"What does this Standard exempt an entity from applying to its accounting policies for the recognition, measurement?"
2744,What does the Standard say about the presentation of regulatory deferral account balances?
2745,What is the purpose of the paragraph 11?
2746,"What is the definition of a change in accounting policies for the recognition, measurement, impairment and?"
2747,What does the change need to achieve to be considered a change in accounting policy?
2748,What is the purpose of paragraph 13-14?
2749,What does the Standard say about the use of regulatory deferral account balances?
2750,What is the impact of recognising regulatory deferral account balances from the financial?
2751,what is required to be presented in the statement of financial position and in the statement(s)?
2752,what is the total of all regulatory deferral account debit balances?
2753,What is the difference between current and non-current assets and liabilities?
2754,what is the net movement in regulatory deferral account balances for the reporting period?
2755,What is the purpose of the statement of profit or loss and other comprehensive income?
2756,what is the definition of a deferred tax asset?
2757,What is the definition of IFRS 5?
2758,what is the definition of a statement of profit or loss and other comprehensive income?
2759,What does the Standard say about the rate regulation?
2760,what is the purpose of the paragraphs 30â€“36?
2761,What is the disclosure objective in paragraph 27?
2762,What is the definition of a rate-regulated activity?
2763,What information is not included in the financial statements?
2764,what is the basis on which regulatory deferral account balances are recognised and derec?
2765,what is the difference between the amount of balances recognised in the statement of financial position and the?
2766,what is the impact of rate regulation on the amount of current and deferred tax recognised?
2767,What is the definition of a disclosure of interest in another entity?
2768,what is the reason why a regulatory deferral account balance is no longer fully recoverable?
2769,What is the objective of this Standard?
2770,What is the core principle of IFRS 15?
2771,What is the purpose of this Standard?
2772,What is the purpose of the Standard?
2773,What is the definition of a customer?
2774,What is the scope of the Standard?
2775,What is the purpose of this Standard?
2776,What is the definition of a reasonable amount of consideration to which an entity may be entitled?
2777,What is the definition of a contract?
2778,What is the definition of a contract?
2779,What is the definition of a contract?
2780,what is the best way to determine if a customer is able to pay the consideration?
2781,what is the purpose of the paragraph 9?
2782,what does the entity do when a customer does not meet the criteria in paragraph 9?
2783,What is the liability of an entity?
2784,What is the definition of a single contract?
2785,What is the definition of a contract modification?
2786,What is the definition of a change in the scope of a contract?
2787,What is the purpose of the paragraph?
2788,What is the amount of consideration to be allocated to the remaining performance obligations?
2789,what is the meaning of the passage?
2790,what is the same pattern of transfer to the customer?
2791,What is the meaning of the passage?
2792,What does a service provider need to do to set up a contract?
2793,What are the main terms of the agreement?
2794,What is the difference between a promise to transfer a good or service to a customer?
2795,What does the passage say about the fact that the entity regularly sells a good or service?
2796,What are the factors that indicate that two or more promises to transfer goods or services to a?
2797,What is the definition of a performance obligation?
2798,what is the performance obligation?
2799,What does the term control mean?
2800,what is the purpose of the paragraphs?
2801,what is the definition of a performance obligation?
2802,What is the definition of alternative use?
2803,What does the right to payment for performance completed to date mean?
2804,What indicators of the transfer of control should an entity consider?
2805,what is the purpose of the paragraph?
2806,What are the most important methods of measuring progress?
2807,What does the measure of progress mean?
2808,What is the definition of a change in accounting estimate?
2809,What is the purpose of the paragraph?
2810,what is the amount of the transaction price that is allocated to that performance obligation?
2811,What is the definition of the transaction price?
2812,what is the effect of variable consideration on the estimate of the transaction price?
2813,What is the purpose of determining the transaction price?
2814,what is the amount of consideration to which the entity will be entitled in exchange for transferring the?
2815,What is the difference between a fixed amount and a fixed amount of consideration?
2816,What is the difference between the terms of the contract and the amount of consideration promised?
2817,what is the most likely amount of variable consideration?
2818,What method is used to estimate the effect of an uncertainty on an amount of variable consideration to which?
2819,what is the definition of a refund liability?
2820,What factors could increase the likelihood of a revenue reversal?
2821,what is the purpose of the paragraph B63?
2822,what is the value of the estimated transaction price?
2823,What is the difference between a significant financing component and a promise of financing?
2824,What is the objective of the paragraph BC232 Illustative Examples?
2825,What is the difference between the promised consideration and the cash selling price of the good or service?
2826,What is the difference between the nominal amount of the promised consideration and the price that the customer would?
2827,What is the purpose of the statement of comprehensive income?
2828,what is the value of the non-cash consideration?
2829,what is the fair value of the non-cash consideration?
2830,what is the fair value of a non-cash consideration?
2831,what is the statutory definition of a non-cash consideration?
2832,What is considered a consideration payable to a customer?
2833,what is the amount of consideration payable to the customer?
2834,What might be implied by the entityâ€™s customary business practices?
2835,what is the objective when allocating the transaction price?
2836,What is the purpose of the paragraph?
2837,What does paragraph 84-86 mean?
2838,what is the value of the transaction?
2839,What is the best evidence of a stand-alone selling price?
2840,What is the purpose of the statement?
2841,What are the best methods for estimating the stand-alone selling price of a good?
2842,What is the purpose of the paragraph 78?
2843,What is the difference between a discount for a bundle of goods or services and a?
2844,what is the difference between the discount in the contract and the discount in the contract?
2845,what is the value of a discount?
2846,what is the meaning of the word contract?
2847,what is the purpose of paragraph 22(b)?
2848,what is the amount of the transaction price that does not meet the criteria in paragraph 85?
2849,What can be the effect of the change in the transaction price after contract inception?
2850,What is the basis for conclusion?
2851,what is the ad hoc price of a performance obligation?
2852,what is the simplest way to allocate the change in the transaction price?
2853,what is the value of a contract?
2854,what is the cost of obtaining a contract?
2855,what is the cost of obtaining a contract?
2856,what is the cost of obtaining a contract?
2857,What is the definition of a cost to fulfil a contract?
2858,what is the scope of the standard?
2859,What are the costs that relate directly to a contract?
2860,what are the costs of a contract?
2861,what is the definition of an asset?
2862,What is the definition of change in accounting estimate?
2863,what is the amount of consideration the entity expects to receive in exchange for the goods or services?
2864,what is the principle for determining the amount of consideration an entity expects to receive?
2865,What does the entity do before it recognises an impairment loss for an asset?
2866,What is the definition of impairment loss?
2867,What is the definition of a contract asset?
2868,what is a contract liability?
2869,What is the definition of a right to consideration?
2870,What does the Standard say about alternative descriptions?
2871,What is the objective of the disclosure requirements?
2872,What is the purpose of the paragraph?
2873,What is the purpose of the Standard?
2874,what is the definition of a reporting period?
2875,What is the definition of the guidance in paragraphs B87â€“B89?
2876,What is the definition of IFRS 8.23?
2877,What is the definition of a contract?
2878,what is the effect of performance obligations on the contract asset and the contract liability balance?
2879,What is the definition of a change in the value of a contract?
2880,what is the purpose of the disclosure?
2881,what is the amount of the transaction price allocated to remaining performance obligations?
2882,what is the purpose of the paragraph 120?
2883,What is the difference between a transaction price and a value of a contract?
2884,What is the purpose of the standard?
2885,what is the purpose of the disclosure?
2886,what is the purpose of the disclosure?
2887,What is the purpose of the disclosure text?
2888,what is the method used to determine amortisation of assets recognised from costs to obtain or?
2889,what is the definition of a contract?
2890,what is the purpose of the paragraph?
2891,What is the purpose of this Standard?
2892,What is the purpose of this Standard?
2893,What is the scope of the Standard?
2894,What is the definition of intangible asset?
2895,what is the underlying asset?
2896,What is the principle of the paragraphs 22â€“49?
2897,what is a new lease?
2898,What is the definition of a class of underlying asset?
2899,What is the definition of a lease?
2900,what is the amount of use of an identified asset?
2901,what is a lease?
2902,What is the purpose of the paragraphs?
2903,what is the basis for the contract?
2904,what is the price of a component?
2905,what is the IFRS 9 financial instrument?
2906,What is the practical expedient in paragraph 15?
2907,what is the IFRS 15?
2908,what is the term of a lease?
2909,what is the purpose of the paragraph?
2910,what is the purpose of the paragraph?
2911,what happens if the lessee exercises an option not previously included in the entityâ€™s determination?
2912,what is the underlying asset?
2913,what is the resale value of the right-of-use asset?
2914,What is the cost of the right-of-use asset?
2915,What is the definition of a lessee's obligation to produce inventories?
2916,what are the lease payments included in the measurement of the lease liability?
2917,what are the types of payments that depend on an index or a rate described in paragraph 27?
2918,what is the cost model for the right-of-use asset?
2919,what is the cost of a rightofuse asset?
2920,"What is the definition of depreciation requirements in IAS 16 Property, Plant?"
2921,what is the purpose of the IAS 36 Impairment of Assets?
2922,what is the definition of investment property in IAS 40?
2923,what type of asset is a lessee applying to?
2924,what is the purpose of the lease?
2925,What is the rate of interest on the remaining balance of the lease liability?
2926,what shall a lessee recognise in profit or loss after the commencement date?
2927,what is the remeasurement of the lease liability?
2928,what is the remeasurement of the lease liability?
2929,what is the discount rate for the remainder of the lease term?
2930,what is the remeasurement of the lease liability?
2931,what is the purpose of the paragraph?
2932,what is the discount rate for the remainder of the lease term?
2933,What is the purpose of the paragraph?
2934,what is a lease modification?
2935,what is the practical expedient in paragraph 46A?
2936,What is the definition of a lease liability?
2937,What does the requirement in paragraph 47(a) apply to?
2938,What is the difference between interest expense and depreciation charge?
